8, 8497, 15
5, 8563, 7
2, 8141, 14
7, 8127, 12
4, 8163, 12
9, 8838, 10
1, 8155, 9
6, 8142, 5
10, 8113, 10
5, 8113, 15
6, 8181, 10
3, 8659, 6
2, 8464, 11
8, 8500, 7
7, 8019, 13
1, 8268, 14
4, 8535, 13
9, 8496, 15
10, 8060, 9
3, 8648, 10
8, 8465, 9
6, 8425, 15
5, 8288, 11
2, 8176, 13
10, 8206, 13
7, 8538, 14
3, 8467, 14
1, 8162, 8
4, 8857, 12
8, 8439, 11
9, 8344, 7
5, 8076, 12
6, 8497, 7
1, 8479, 12
2, 8493, 10
10, 8070, 5
7, 8486, 10
4, 8566, 11
9, 8434, 8
8, 8676, 14
3, 8308, 11
6, 8146, 11
10, 8433, 5
2, 8070, 11
5, 8659, 9
1, 8082, 14
9, 8076, 11
7, 8113, 7
10, 8110, 8
4, 8537, 9
3, 8178, 14
6, 8648, 13
8, 8549, 14
5, 8514, 14
7, 8162, 10
2, 8435, 10
10, 8163, 6
4, 8001, 6
1, 8466, 9
9, 8160, 14
6, 8433, 11
3, 8657, 6
10, 8428, 5
7, 8856, 14
4, 8094, 10
2, 8535, 10
8, 8245, 11
1, 8273, 7
5, 8060, 8
10, 8861, 15
3, 8245, 12
4, 8581, 14
6, 8660, 8
9, 8232, 13
1, 8592, 14
2, 8186, 12
5, 8037, 5
8, 8991, 14
7, 8110, 13
3, 8800, 14
5, 8656, 5
6, 8715, 5
5, 8815, 7
2, 8243, 6
6, 8726, 12
4, 8180, 11
9, 8679, 9
1, 8135, 9
10, 8529, 10
7, 8245, 9
8, 8186, 6
2, 8432, 15
5, 8485, 10
3, 8550, 7
9, 8528, 11
8, 8581, 8
1, 8496, 8
4, 8166, 7
6, 8614, 12
7, 8715, 14
10, 8800, 13
3, 8861, 8
5, 8493, 9
8, 8185, 12
4, 8659, 14
1, 8726, 13
9, 8176, 14
2, 8065, 13
3, 8537, 14
6, 8009, 12
5, 8546, 15
7, 8009, 8
10, 8426, 8
8, 8659, 5
4, 8160, 5
1, 8776, 8
9, 8592, 9
2, 8164, 13
7, 8118, 10
6, 8243, 15
10, 8488, 10
8, 8487, 7
3, 8428, 14
5, 8070, 5
4, 8360, 7
1, 8445, 10
9, 8035, 12
8, 8181, 13
7, 8649, 14
10, 8137, 14
4, 8550, 9
5, 8065, 10
2, 8566, 7
1, 8141, 15
9, 8563, 14
6, 8438, 11
3, 8379, 15
4, 8485, 13
5, 8856, 9
8, 8443, 14
2, 8679, 5
7, 8186, 8
10, 8776, 5
2, 8561, 10
6, 8110, 7
5, 8436, 5
10, 8549, 5
1, 8070, 10
3, 8160, 10
7, 8344, 12
4, 8657, 7
9, 8535, 10
8, 8003, 14
5, 8038, 11
6, 8649, 6
2, 8659, 6
10, 8036, 13
4, 8513, 14
6, 8657, 13
2, 8203, 5
1, 8169, 14
3, 8446, 13
9, 8792, 13
7, 8108, 7
5, 8273, 12
2, 8555, 6
8, 8658, 8
10, 8614, 5
7, 8149, 7
2, 8513, 12
4, 8379, 8
10, 8568, 5
6, 8115, 13
3, 8271, 11
9, 8856, 15
1, 8546, 13
8, 8493, 14
5, 8115, 11
7, 8425, 8
10, 8480, 9
4, 8466, 14
2, 8815, 11
3, 8440, 10
7, 8036, 5
6, 8166, 6
10, 8145, 9
1, 8176, 7
5, 8513, 8
8, 8592, 8
9, 8060, 10
7, 8360, 8
6, 8569, 12
4, 8648, 10
3, 8017, 6
2, 8271, 14
1, 8846, 9
5, 8066, 10
10, 8438, 8
8, 9086, 11
7, 9086, 9
9, 8108, 9
3, 8464, 8
1, 8857, 8
6, 8177, 6
4, 8137, 10
10, 8445, 6
7, 8145, 10
8, 8792, 15
3, 8438, 13
2, 8019, 10
9, 8113, 15
6, 8169, 11
10, 8538, 13
1, 8480, 8
4, 8076, 10
7, 8072, 9
2, 8430, 5
1, 8483, 5
6, 8145, 12
8, 8600, 10
3, 8561, 7
10, 8164, 13
2, 8035, 12
4, 8116, 9
1, 8614, 8
9, 8036, 7
7, 8244, 8
3, 8991, 7
9, 8991, 12
8, 8145, 14
4, 8443, 11
1, 8115, 15
7, 8554, 7
3, 8268, 10
6, 8137, 6
2, 8218, 14
10, 8162, 7
4, 8120, 13
7, 8482, 5
6, 8430, 12
10, 8550, 13
3, 8166, 13
7, 8084, 8
9, 8244, 8
2, 8465, 6
6, 8538, 15
2, 8865, 15
9, 8529, 11
10, 8487, 10
3, 8514, 15
9, 8440, 8
3, 8181, 5
3, 8288, 5
9, 8115, 7
9, 8135, 15
